"Artikel","Fabrikantscode","Merk","Omschrijving","Prijs","Prijs_incl_heffingen","Voorraad","produktindeling","UNSPSC_code","EAN_code","status","Verwijderingsbijdrage","Thuiskopie","Stibat"
"HPI-U85TTE","U85TTE","HP Printing & Computing","HP 4y Premium+ Onsite 1x DLE NB-PB 8xx-1xxx 3y G11+-Hardware Onsite w/DLE Break Fix Support Active Care Enabled Proactive Support 4 year","346.90","346.90","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85TVE","U85TVE","HP Printing & Computing","HP 5y Premium+ Onsite 1x DLE NB-PB 8xx-1xxx 3y G11+-Hardware Onsite w/DLE Break Fix Support Active Care Enabled Proactive Support 5 year","379.49","379.49","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85U8E","U85U8E","HP Printing & Computing","HP 4y Essential Offsite 1x DLE NB-ZBookMWS 3y G11+-4yr Offsite Per Country Support Model w/DLE Pick up Return or Return to Depot 5pm- Std bus days excl HP hol.","332.68","332.68","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85U9E","U85U9E","HP Printing & Computing","HP 5y Essential Offsite 1x DLE NB-ZBookMWS 3y G11+-5yr Offsite Per Country Support Model w/DLE Pick up Return or Return to Depot 5pm- Std bus days excl HP hol.","361.10","361.10","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85V0E","U85V0E","HP Printing & Computing","HP 4y Onsite DLE NB Supp-ZBook MWS 3y G11+-4yr Next Business Day Onsite Hardware Support with DLE Std bus days/hrs- excl HP holidays","361.10","361.10","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85V1E","U85V1E","HP Printing & Computing","HP 5y Onsite DLE NB Supp-ZBook MWS 3y G11+-5yr Next Business Day Onsite Hardware Support with DLE Std bus days/hrs- excl HP holidays","399.56","399.56","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85V2E","U85V2E","HP Printing & Computing","HP 4y Premium+ Onsite 1x DLE NB-ZBook MWS 3y G11+-Hardware Onsite w/DLE Break Fix Support Active Care Enabled ProactiveSupport 4 year","374.48","374.48","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85V3E","U85V3E","HP Printing & Computing","HP 5y Premium+ Onsite 1x DLE NB-ZBook MWS 3y G11+-Hardware Onsite w/DLE Break Fix Support Active Care Enabled ProactiveSupport 5 year","416.27","416.27","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85V7E","U85V7E","HP Printing & Computing","HP 3y Premium+ Onsite NB-HP EliteBook 1xxx 1y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","165.50","165.50","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85VYE","U85VYE","HP Printing & Computing","HP 3y Premium+ Onsite NB HP EliteBook 1xxx 3y Warranty G11+ Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","115.35","115.35","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85VZE","U85VZE","HP Printing & Computing","HP 4y Premium+ Onsite NB-HP EliteBook 1xxx 3y Warranty G11+-HardwareOnsite Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","170.52","170.52","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85W0E","U85W0E","HP Printing & Computing","HP 5y Premium+ Onsite NB-HP EliteBook 1xxx 3y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","225.69","225.69","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85W4E","U85W4E","HP Printing & Computing","HP 3y Premium+ Onsite DMR NB-HP EliteBook 1xxx 3y Warranty G11+-Hardware Onsitew//DMR Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","124.55","124.55","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85W6E","U85W6E","HP Printing & Computing","HP 5y Premium+ Onsite DMR NB-HP EliteBook 1xxx 3y Warranty G11+-Hardware Onsitew//DMRl Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","240.74","240.74","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85WME","U85WME","HP Printing & Computing","HP 3y Premium+ Onsite NB HP EliteBook 8xx 1y Warranty G11+ Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","128.72","128.72","178","HPIIPTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85WNE","U85WNE","HP Printing & Computing","HP 4y Premium+ Onsite NB-HP EliteBook 8xx 1y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","171.35","171.35","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85WQE","U85WQE","HP Printing & Computing","HP 5y Premium+ Onsite NB-HP EliteBook 8xx 1y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","214.83","214.83","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85WXE","U85WXE","HP Printing & Computing","HP 5y Premium+ Onsite DMR NB-HP EliteBook 8xx 1y Warranty G11+-Hardware Onsite w//DMRl Break Fix Support Tech Pulse Enabled Proactive Support 5 Year","229.86","229.86","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85X5E","U85X5E","HP Printing & Computing","HP 4y Premium+ Onsite DMR TRV NB-HP EliteBook 8xx 1y Warranty G11+-Hardware Onsite w/DMR/Travel Break Fix Support Active Care Enabled Proactive Support 4 Year","191.42","191.42","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85X6E","U85X6E","HP Printing & Computing","HP 5y Premium+ Onsite DMR TRV NB-HP EliteBook 8xx 1y Warranty G11+-Hardware Onsite w/DMR/Travel Break Fix Support Active Care Enabled Proactive Support 5 Year","239.06","239.06","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85XBE","U85XBE","HP Printing & Computing","HP 3y Premium+ Onsite NB-HP EliteBook 8xx 3y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 3 Year","90.27","90.27","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
"HPI-U85XCE","U85XCE","HP Printing & Computing","HP 4y Premium+ Onsite NB-HP EliteBook 8xx 3y Warranty G11+-Hardware Onsite Break Fix Support Tech Pulse Enabled Proactive Support 4 Year","133.74","133.74","178","HPINZTEPK---","81111818","","00","0.00","0.00","0.00"
